Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo
2167,2167,1841.0,1778.0,973.0,1248.0,1450.0,1629.0,1,-0.19197151,0.0610951,0.05813576,28.242718122368313,112.54718208571828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.54718208571828,28.242718122368313]}"
2168,2168,1857.0,1590.0,770.0,928.0,988.0,1848.0,1,-0.33357272,0.0024291498,0.303244,28.29356276744948,113.02796042577906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.02796042577906,28.29356276744948]}"
2169,2169,2737.0,2398.0,1754.0,2066.0,2368.0,3008.0,1,-0.13970435,-0.047171455,0.11904762,28.091441828522587,113.15866529961843,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.15866529961843,28.091441828522587]}"
2170,2170,2131.0,1999.0,1088.0,1346.0,1494.0,1945.0,1,-0.22576934,0.045632973,0.13114278,28.28817287574476,112.57772480537837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.57772480537835,28.28817287574476]}"
2171,2171,2311.0,2239.0,809.0,954.0,1128.0,1588.0,1,-0.4156202,0.18543217,0.16936672,27.96693533014362,113.72226830887504,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.72226830887503,27.96693533014362]}"
2172,2172,2182.0,1694.0,612.0,898.0,836.0,2116.0,1,-0.4168831,0.015355979,0.43360433,28.280627027358157,113.85198503590188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.85198503590189,28.280627027358157]}"
2173,2173,2346.0,2113.0,1584.4,1515.5,1519.0,2023.0,1,-0.21507186,0.07392996,0.14229248,28.16851727990004,113.09623238737214,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.09623238737214,28.16851727990004]}"
2174,2174,925.0,801.5,745.5,876.0,894.5,963.0,1,-0.027207106,-0.02012712,0.036877524,28.0765297948062,112.8599754676487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.8599754676487,28.076529794806202]}"
2175,2175,1618.5,1642.5,662.5,786.0,842.5,1577.0,1,-0.34622583,0.012987013,0.30357513,28.253947063419808,112.40497877624216,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.40497877624216,28.253947063419808]}"
2176,2176,2243.0,1643.0,777.0,972.0,1042.0,1902.0,1,-0.39533436,0.08226779,0.29211956,28.28673557129017,113.68714418126596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.68714418126595,28.28673557129017]}"
2177,2177,1385.0,1286.0,524.0,656.0,764.0,1109.0,1,-0.35717785,0.1106656,0.18419647,28.45561884470464,112.81299357828924,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.81299357828925,28.45561884470464]}"
2178,2178,1678.0,1267.0,597.0,806.0,874.0,2061.0,1,-0.3510467,-0.10243381,0.4044293,28.28197450028434,112.67546150829055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.67546150829055,28.28197450028434]}"
2179,2179,1958.4,1607.25,984.0,1204.5,1324.0,1958.75,1,-0.2383572,-8.935067e-05,0.19335923,28.13680675037062,113.09335777846294,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.09335777846294,28.13680675037062]}"
2180,2180,1912.0,1539.0,1158.0,1294.0,1454.0,1942.0,1,-0.19276357,-0.0077841203,0.14369847,28.27281168438632,112.95169345815732,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.95169345815731,28.27281168438632]}"
2181,2181,1530.0,1381.0,922.0,1056.0,1184.0,1477.0,1,-0.18329467,0.01762554,0.11010898,28.302096762648613,112.96175458933944,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.96175458933944,28.302096762648613]}"
2182,2182,1486.0,1391.0,826.0,908.0,1005.0,1233.0,1,-0.24143693,0.093048915,0.101876676,28.28448978307987,112.90641836783767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.90641836783767,28.28448978307987]}"
2183,2183,1480.0,1203.0,466.0,640.0,664.0,1493.0,1,-0.3962264,-0.0043726875,0.3843301,28.15046114268924,113.01736030542644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[113.01736030542644,28.150461142689238]}"
2184,2184,2145.0,1883.0,684.0,786.0,868.0,1435.0,1,-0.4636643,0.19832402,0.2462006,27.92731962611395,112.01349297542288,"{""geodesic"":false,""type"":""Point"",""coordinates"":[112.01349297542288,27.92731962611395]}"
