Original_ID,B2,B3,B4,B8,B11,B12,NDVI,NDBI,MNDWI,Class,lon,lat,system:index,RF_Pred,prob_1,prob_2,prob_3,margin
10117,538.0,728.0,519.5,244.5,127.5,90.5,-0.35994765162467957,-0.3145161271095276,0.7019286751747131,3,119.53114888068507,29.409425773966397,10117,3,0.0,0.0,1.0,1.0
10118,381.0,492.0,383.0,526.0,401.0,291.0,0.15731573104858398,-0.1348435878753662,0.10190369188785553,3,118.52216133071553,29.40978250205067,10118,3,0.013333333333333334,0.01,0.9766666666666667,0.9633333333333334
10119,398.0,464.0,234.0,325.0,350.0,239.0,0.1627907007932663,0.03703703731298447,0.14004914462566376,3,118.68161432528572,29.40978250205067,10119,3,0.0,0.0,1.0,1.0
10120,472.0,608.0,421.0,398.0,433.0,293.0,-0.02808302827179432,0.04211793094873428,0.16810758411884308,3,118.52324043317044,29.410054507214923,10120,3,0.013333333333333334,0.0,0.9866666666666667,0.9733333333333334
10121,527.0,715.5,506.0,194.5,109.0,62.0,-0.44468235969543457,-0.2817133367061615,0.7355973124504089,3,119.53294589840961,29.410143689236005,10121,3,0.0,0.0,1.0,1.0
10122,358.0,404.0,162.0,107.0,61.0,54.0,-0.2044609636068344,-0.2738095223903656,0.7376344203948975,3,118.70443154537615,29.41103996854774,10122,3,0.0,0.0,1.0,1.0
10123,330.0,350.0,166.0,84.0,62.0,47.0,-0.328000009059906,-0.15068493783473969,0.6990291476249695,3,118.71278344164931,29.41166870179628,10123,3,0.0,0.0,1.0,1.0
10124,316.0,344.0,152.0,99.0,76.0,59.0,-0.21115538477897644,-0.1314285695552826,0.6380952596664429,3,118.7161054719341,29.411762342918404,10124,3,0.0,0.0,1.0,1.0
10125,322.0,347.0,162.0,83.0,64.0,46.0,-0.3224489688873291,-0.12925170361995697,0.6885644793510437,3,118.71323381085568,29.411851524939475,10125,3,0.0,0.0,1.0,1.0
10126,345.0,370.0,173.0,91.0,65.0,50.0,-0.31060606241226196,-0.1666666716337204,0.7011494040489197,3,118.71224389042182,29.412208253023746,10126,3,0.0,0.0,1.0,1.0
10127,332.0,407.0,180.0,61.0,70.0,56.0,-0.4937759339809418,0.06870228797197342,0.7064989805221558,3,118.78213584033355,29.41265862223014,10127,3,0.0,0.0,1.0,1.0
10128,310.0,387.0,167.0,56.0,72.0,60.0,-0.49775785207748413,0.125,0.686274528503418,3,118.78357167087273,29.412747804251214,10128,3,0.0,0.0,1.0,1.0
10129,351.0,422.0,199.0,74.0,78.0,66.0,-0.45787546038627625,0.02631578966975212,0.6880000233650208,3,118.78069555069327,29.413198173457612,10129,3,0.0,0.0,1.0,1.0
