system:index,Original_ID,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
000000000000000032da_0,13018,112.05555555555551,1.0393492741036998,89.99999999999997,1.1547005383792517,615.1666666666665,6.137317546507322,861.8333333333333,3.894440481849307,613.4444444444443,3.3287004842065997,248.61111111111103,4.771313456351825,3,0.7698785,0.0021066292799476,-0.378523,0.0091008978915026,-0.4232428,0.0087926949899892,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000037c9_0,14281,844.7222222222221,322.2258620484078,558.7777777777776,213.62299490133844,612.3333333333331,18.16743117657407,913.3333333333331,23.101226518664905,904.7777777777776,95.2972283353252,988.4999999999995,468.0120487527834,3,0.07758845,0.2183955495916756,-0.06038854,0.1064238561585878,-0.014860786,0.2078716816006363,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000271f_0,10015,166.1694725028058,3.168000487999102,149.2932098765432,4.772730270731782,627.5555555555554,10.665219809278378,888.7777777777776,6.747656200307916,635.9999999999998,5.799904213768438,282.0342916342915,11.537740081121566,3,0.68498963,0.0040944630934205,-0.25804284,0.024321618922786,-0.38578585,0.0161643236564624,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000295f_0,10591,124.55555555555554,1.992269008560033,96.66666666666664,1.0,624.7222222222221,5.339117234103445,844.0555555555553,5.837828955489982,607.4444444444442,3.499559055113075,262.4444444444444,2.8327886186631654,3,0.7428161,0.0037453407500361,-0.3563012,0.0087266150904964,-0.39661068,0.0044242332893797,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002cb3_0,11443,128.49999999999994,1.0274023338281628,97.55555555555551,1.8475876831461129,600.0555555555553,9.549416632688532,811.7222222222218,5.234029205921672,521.7777777777777,4.755763235339995,375.61111111111103,4.840671313510513,3,0.72665,0.0029113330794913,-0.49015388,0.0053401941107712,-0.1628881,0.0084200195536871,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000031d9_0,12761,187.38888888888883,5.815581454533979,147.16666666666666,4.365266951236265,613.3333333333331,4.654746681256314,835.6666666666665,4.983305462575351,647.6666666666665,16.802777548171413,355.2777777777777,5.492980930803155,3,0.6337204,0.0089794292706227,-0.30946687,0.0145392625455838,-0.29137734,0.0130093512582366,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000327a_0,12922,105.9444444444444,1.498970840358996,84.27777777777776,2.9917582261858207,616.3333333333333,7.494442385305705,875.333333333333,4.630814663149935,625.4999999999998,7.579211333934715,254.66666666666657,2.9907264074877267,3,0.7840718,0.002527865826333,-0.41238934,0.0091181816842047,-0.4212933,0.0071498295049885,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003913_0,14611,345.88888888888886,117.38203955408406,284.99999999999994,105.02486478078524,615.111111111111,45.95394903703899,892.0555555555552,91.60435592640415,778.0555555555552,119.17621044404142,402.05555555555543,98.91787964559416,3,0.45387352,0.1428090524622526,-0.09467154,0.1497204099644971,-0.32383266,0.0736539444236867,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000027ac_0,10156,184.6666666666666,1.8856180831641267,146.8333333333333,3.064129385141706,616.9444444444442,7.080663985044962,843.8888888888886,8.837350588955395,586.1666666666664,4.864839839775475,436.0555555555555,11.419876542542676,3,0.64089173,0.0050581318492587,-0.4047755,0.0141422569001304,-0.1469639,0.0152822950408126,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002ec7_0,11975,158.61111111111111,16.792488032480065,135.7222222222222,18.31986036929916,622.6666666666665,8.23609940040389,892.222222222222,12.452378423221312,656.2222222222222,7.207677662322648,263.05555555555543,7.8260407346403325,3,0.6984388,0.0280054109104094,-0.24956168,0.0418761942533218,-0.4277345,0.0145568558080085,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002ecd_0,11981,119.49999999999996,2.273030282830976,96.61111111111109,2.3778816176703375,609.2777777777776,6.616944205392562,831.4999999999997,2.592724864350674,572.2222222222221,6.245492201540277,215.0555555555555,3.2951516947419734,3,0.7486937,0.0042366557779885,-0.2856412,0.0049405899137186,-0.45365876,0.0080218270835669,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002f72_0,12146,143.99999999999994,8.48528137423857,113.60606060606058,5.314014598008081,626.0296296296294,7.432584988813021,841.2499999999997,7.258137195972226,624.397222222222,7.893163943377171,360.3063492063491,1.0959234110557274,3,0.707854,0.0136796876857033,-0.42934525,0.0236111124656567,-0.2681476,0.0060682838145033,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000031fd_0,12797,608.2777777777777,107.39649050522787,452.1666666666665,86.48827794691152,563.6666666666665,74.19194325831104,744.2777777777776,88.39938131731463,593.3333333333333,109.02828379217324,975.2777777777776,274.47719102880257,3,0.106337,0.0723641785104645,-0.21716869,0.087918173894307,0.22831495,0.0693570553020773,"{""type"":""MultiPoint"",""coordinates"":[]}"
