Original_ID,system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo,prob_1,prob_2,margin
63,63,3547.0,3705.833333333333,1781.0,1976.6666666666667,2029.1666666666663,2440.5,1,-0.28429183,0.18480167,0.092027746,30.489404647951236,114.07243160662482,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.07243160662482,30.489404647951236]}",0.99,0.006666666666666667,0.9833333333333333
64,64,2357.0,2010.5,899.5,1096.0,1429.0,1829.5,1,-0.3651897,0.12600024,0.122909315,30.44583635667144,114.29350699804664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.29350699804664,30.44583635667144]}",0.9266666666666666,0.07333333333333333,0.8533333333333333
65,65,1400.0,1341.0,1150.0,1330.0,1454.0,1933.0,1,-0.025641026,-0.159916,0.14142309,30.507101459048393,114.30437661298448,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.30437661298448,30.507101459048393]}",0.9766666666666667,0.013333333333333334,0.9633333333333334
66,66,2155.5,1793.0,1071.0,1274.0,1423.0,2399.0,1,-0.25703454,-0.053463608,0.25536367,30.731410785493036,114.37417571056056,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.37417571056056,30.731410785493036]}",0.9333333333333333,0.06666666666666667,0.8666666666666667
67,67,2391.625,2026.5,1008.5,1264.6666666666667,1592.3333333333337,2065.2,1,-0.3082244,0.0732416,0.12928568,30.49335723520136,114.16693437451418,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.16693437451418,30.493357235201362]}",0.8666666666666667,0.13333333333333333,0.7333333333333334
68,68,1791.5,1349.5,847.0,1016.5,1052.0,1915.0,1,-0.27599716,-0.033319842,0.2908662,30.436314214659777,114.31623437473486,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.31623437473486,30.436314214659774]}",0.9566666666666667,0.03,0.9266666666666666
69,69,2206.0,2020.0,1434.0,1404.0,1504.0,2027.0,1,-0.22216067,0.042286795,0.14811668,30.519138883855593,114.29521379708646,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.29521379708646,30.519138883855593]}",0.9866666666666667,0.013333333333333334,0.9733333333333334
70,70,2173.958333333333,1975.75,1230.6666666666667,1200.923076923077,1142.3636363636365,2411.6363636363635,1,-0.28831688,-0.05183145,0.3571392,30.65388617647352,114.02500055962332,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.02500055962331,30.65388617647352]}",0.9466666666666667,0.05333333333333334,0.8933333333333333
71,71,1929.857142857143,1755.1,1074.3333333333333,1326.2222222222222,1353.0,2065.4615384615386,1,-0.18538705,-0.033940822,0.20841584,30.61804339663715,114.1189643383422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.11896433834221,30.61804339663715]}",0.9833333333333333,0.016666666666666666,0.9666666666666666
72,72,1837.0,1368.5,857.0,1121.0,1100.0,1761.0,1,-0.24205545,0.021122847,0.2310381,30.79743695887582,114.61716999491487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.61716999491489,30.79743695887582]}",0.8933333333333333,0.08333333333333333,0.8099999999999999
73,73,1454.5,1327.5,599.5,662.0,806.0,961.5,1,-0.37443894,0.2040563,0.08797737,30.64481319210391,114.44900537372772,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.44900537372772,30.644813192103914]}",0.98,0.016666666666666666,0.9633333333333333
74,74,1680.0,1580.0,1066.0,1158.0,1256.0,1552.0,1,-0.18393235,0.03960396,0.10541311,30.471528173797257,114.38459616785636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.38459616785636,30.471528173797257]}",0.9966666666666667,0.0033333333333333335,0.9933333333333334
75,75,1692.0,1518.0,1150.0,1318.0,1420.0,1918.0,1,-0.12425249,-0.062603876,0.14919113,30.515994780361176,114.24131488003928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.24131488003928,30.515994780361176]}",0.9833333333333333,0.016666666666666666,0.9666666666666666
76,76,2410.5,2125.0,663.3125,729.8181818181819,1177.2307692307693,1565.2,1,-0.53519475,0.21261665,0.1414691,30.479702842882745,114.12983395328006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.12983395328006,30.479702842882745]}",0.9766666666666667,0.023333333333333334,0.9533333333333334
77,77,2137.5,2010.5,809.0,959.5,1281.0,1849.5,1,-0.38036808,0.072234765,0.18160038,30.70670711517975,114.41558804515849,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.41558804515847,30.70670711517975]}",0.9833333333333333,0.016666666666666666,0.9666666666666666
78,78,2573.0,2164.0,702.0,1032.0,1300.0,2144.0,1,-0.42746186,0.090947635,0.24506389,30.728626008112265,114.33204472373536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.33204472373536,30.728626008112265]}",0.83,0.17,0.6599999999999999
79,79,2554.0,1745.0,792.0,1084.0,1200.0,2723.0,1,-0.40406817,-0.032025773,0.3882233,30.920955310442256,114.7441917760894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.7441917760894,30.920955310442256]}",0.7,0.3,0.39999999999999997
80,80,2197.5,1796.0,1128.6666666666667,1459.0,1683.0,2370.0,1,-0.2019691,-0.03776683,0.16950408,30.698891772207908,114.30266981394465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.30266981394465,30.698891772207908]}",0.9366666666666666,0.06333333333333334,0.8733333333333333
81,81,2700.0,2449.0,1214.0,1278.0,1656.0,2416.0,1,-0.35746607,0.05551212,0.18664047,30.835435695394075,114.77904640911323,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.77904640911323,30.835435695394075]}",0.97,0.03,0.94
82,82,2135.0,1832.0,1022.0,1294.0,1496.0,2145.0,1,-0.24526101,-0.0023364485,0.17824773,30.52120500900907,114.51790615601968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.51790615601969,30.52120500900907]}",0.9433333333333334,0.056666666666666664,0.8866666666666667
83,83,926.0,671.0,739.0,807.0,773.0,990.0,1,-0.068667054,-0.033402923,0.12308565,30.591992253397684,114.25703539751136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.25703539751137,30.591992253397684]}",0.8233333333333334,0.11333333333333333,0.7100000000000001
84,84,3701.8,3704.4545454545455,1510.5,1858.0,2056.5,2549.75,1,-0.33163065,0.1842823,0.10708277,30.782794419744672,114.23278088484015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.23278088484015,30.782794419744672]}",0.9466666666666667,0.05,0.8966666666666666
85,85,4137.5,4049.0,2181.0,1290.0,1199.0,2509.0,1,-0.524643,0.24501617,0.35329017,30.81746938971169,114.41370158306182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[114.41370158306182,30.817469389711686]}",0.9733333333333334,0.02666666666666667,0.9466666666666668
