City,Seed,Model,OA,BE,Rec_C1,Rec_C2,Rec_C3,Prec_C1,Prec_C2,Prec_C3,n_err,err_C12_share,err_water_share,mean_margin_all,mean_margin_err,mean_margin_ok,low_margin_frac,low_margin_among_err,ndvi_c12_err,ndvi_c1_true,ndvi_c2_true,ndbi_c1_true,ndbi_c2_true
Changsha,2,MLP,0.9451111111111111,178,0.966,0.8946666666666667,0.9746666666666667,0.9073262366938009,0.9517730496453901,0.9792364367046216,247,0.7206477732793523,0.2793522267206478,0.9330865740776062,0.6131618618965149,0.9516667127609253,0.013333333333333334,0.11336032388663968,0.39822182346067414,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,3,MLP,0.9464444444444444,171,0.9586666666666667,0.9006666666666666,0.98,0.9182630906768838,0.9487359550561798,0.9735099337748344,241,0.7095435684647303,0.29045643153526973,0.9295043349266052,0.599301815032959,0.9481891989707947,0.010666666666666666,0.11618257261410789,0.40043989778362576,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Changsha,4,MLP,0.944,184,0.9346666666666666,0.9213333333333333,0.976,0.9321808510638298,0.9213333333333333,0.9786096256684492,252,0.7301587301587301,0.2698412698412698,0.9168713092803955,0.5641021728515625,0.9377983808517456,0.014666666666666666,0.12301587301587301,0.4033826225271739,0.28474792822635997,0.619532370906,0.00577925590168,-0.14994944949963335
Nanchang,0,RF,0.9126666666666666,207,0.948,0.8346666666666667,0.9553333333333334,0.89490245437382,0.9212656364974245,0.9233247422680413,393,0.5267175572519084,0.4732824427480916,0.7978029629629629,0.4356149279050042,0.8324608392175961,0.03777777777777778,0.2035623409669211,0.31948606963285026,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Nanchang,1,RF,0.9137777777777778,205,0.952,0.8313333333333334,0.958,0.8947368421052632,0.9257609502598366,0.9229287090558767,388,0.5283505154639175,0.47164948453608246,0.7979866666666667,0.44355670103092776,0.8314299610894942,0.03666666666666667,0.19072164948453607,0.316719472702439,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Nanchang,2,RF,0.9117777777777778,208,0.948,0.832,0.9553333333333334,0.8943396226415095,0.9210332103321033,0.9215434083601286,397,0.5239294710327456,0.4760705289672544,0.7980022222222223,0.42601175482787573,0.8339954504833861,0.03888888888888889,0.22418136020151133,0.3186310084326923,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Nanchang,3,RF,0.9131111111111111,202,0.948,0.838,0.9533333333333334,0.8982943777637398,0.918859649122807,0.9231762427372499,391,0.5166240409207161,0.4833759590792839,0.7974785185185185,0.43526854219948846,0.8319453232741137,0.03755555555555556,0.2020460358056266,0.3142058786831683,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Nanchang,4,RF,0.9111111111111111,208,0.948,0.8313333333333334,0.954,0.8932160804020101,0.9209748892171344,0.9208494208494209,400,0.52,0.48,0.7987274074074074,0.42570833333333336,0.8351195121951219,0.03888888888888889,0.2225,0.31859777742307693,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Nanchang,0,MLP,0.928,158,0.9593333333333334,0.8406666666666667,0.984,0.932598833441348,0.941747572815534,0.9122373300370828,324,0.4876543209876543,0.5123456790123457,0.903632402420044,0.6137929558753967,0.9261199235916138,0.01622222222222222,0.09876543209876543,0.3103887423164557,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Nanchang,1,MLP,0.9284444444444444,159,0.9653333333333334,0.8333333333333334,0.9866666666666667,0.9276105060858424,0.9498480243161094,0.9118915588416513,322,0.4937888198757764,0.5062111801242236,0.8964511752128601,0.5871877074241638,0.9202861785888672,0.016666666666666666,0.13043478260869565,0.3128174833710691,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Nanchang,2,MLP,0.9295555555555556,148,0.962,0.858,0.9686666666666667,0.9376218323586745,0.9285714285714286,0.9225396825396825,317,0.4668769716088328,0.5331230283911672,0.8794123530387878,0.5382864475250244,0.9052638411521912,0.024666666666666667,0.15141955835962145,0.31124069134459464,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
Nanchang,3,MLP,0.9304444444444444,161,0.9526666666666667,0.8606666666666667,0.978,0.9370491803278689,0.9294456443484521,0.924968474148802,313,0.5143769968051118,0.48562300319488816,0.8954966068267822,0.6050992608070374,0.9172053933143616,0.017333333333333333,0.11182108626198083,0.3121375515341615,0.23486099950426667,0.4439083657888,0.02895958376710867,-0.08178806294822667
