PointID,Original_ID,lon,lat,Class,margin,RF_Pred,prob_1,prob_2,prob_3
29,8584,120.27630033952427,30.121428275574313,2,0.24,2,0.3566666666666667,0.5966666666666667,0.04666666666666667
30,9058,120.28537461016805,30.219256493585867,2,0.24,2,0.38,0.62,0.0
31,9299,120.08558904656945,30.27522267090766,2,0.24000000000000005,2,0.37666666666666665,0.6166666666666667,0.006666666666666667
32,438,119.51677719798978,29.62430093552985,1,0.24666666666666665,1,0.6233333333333333,0.37666666666666665,0.0
33,719,119.55082243453283,29.8532846928264,1,0.24666666666666665,1,0.6233333333333333,0.37666666666666665,0.0
34,8998,120.22985880205263,30.204523623705278,2,0.24999999999999994,2,0.37333333333333335,0.6233333333333333,0.0033333333333333335
35,9980,120.22123490061527,30.5124646833552,2,0.2533333333333333,2,0.3566666666666667,0.61,0.03333333333333333
36,5568,118.84124122479696,29.442213544012375,2,0.25333333333333335,2,0.0,0.6266666666666667,0.37333333333333335
37,7148,119.75464794368585,29.823101037795624,2,0.25333333333333335,2,0.37333333333333335,0.6266666666666667,0.0
38,7863,120.0057310058033,29.970514459521485,2,0.25333333333333335,2,0.37333333333333335,0.6266666666666667,0.0
39,8055,119.98192386527892,30.006173890645897,2,0.25333333333333335,2,0.37333333333333335,0.6266666666666667,0.0
40,8466,120.0486676898469,30.096278945632882,2,0.25333333333333335,2,0.37333333333333335,0.6266666666666667,0.0
41,9787,120.0961883297735,30.402333805537193,2,0.25333333333333335,2,0.37333333333333335,0.6266666666666667,0.0
42,8033,120.28905782763817,30.002762678340016,2,0.26,2,0.37,0.63,0.0
43,9917,120.19895723175226,30.45668132917659,2,0.26,2,0.37,0.63,0.0
44,6591,119.84519890877817,29.69805446695385,2,0.26333333333333336,2,0.36666666666666664,0.63,0.0033333333333333335
45,6444,119.1606823060637,29.659246910485706,2,0.26666666666666666,2,0.36666666666666664,0.6333333333333333,0.0
46,9111,120.05756359644852,30.22904867949923,2,0.26666666666666666,2,0.36666666666666664,0.6333333333333333,0.0
47,9805,120.19132325074874,30.409878604519612,2,0.26666666666666666,2,0.36666666666666664,0.6333333333333333,0.0
48,9966,120.0938517608215,30.49144448098925,2,0.26666666666666666,2,0.0,0.6333333333333333,0.36666666666666664
49,9064,119.69607765134887,30.22132105737361,2,0.2733333333333333,2,0.33666666666666667,0.61,0.05333333333333334
50,10523,118.68305015582494,29.477516247052517,3,0.2733333333333333,3,0.36,0.006666666666666667,0.6333333333333333
51,4475,119.83837202506537,30.40404164124066,1,0.2733333333333334,1,0.6366666666666667,0.36333333333333334,0.0
52,8838,119.36711638933298,30.174701155859832,2,0.2733333333333334,2,0.36333333333333334,0.6366666666666667,0.0
53,9484,119.63382860064273,30.317802626867017,2,0.2733333333333334,2,0.36333333333333334,0.6366666666666667,0.0
54,9637,119.97545370965038,30.3579568318533,2,0.2733333333333334,2,0.36333333333333334,0.6366666666666667,0.0
55,9607,120.10068310363536,30.34933293041593,2,0.27666666666666667,2,0.34,0.6166666666666667,0.043333333333333335
56,9985,120.32633591244499,30.515608349597873,2,0.2766666666666667,2,0.0033333333333333335,0.6366666666666667,0.36
57,4262,120.19545237832425,30.374843447542695,1,0.28,1,0.64,0.36,0.0
58,8862,118.96116874762937,30.179552657805978,2,0.28,2,0.36,0.64,0.0
59,7379,119.8995464324176,29.869542575267264,2,0.2833333333333334,2,0.01,0.6366666666666667,0.35333333333333333
60,3623,120.33855384933143,30.301901472510426,1,0.2866666666666666,1,0.6433333333333333,0.3566666666666667,0.0
61,6002,119.36496264352415,29.545160810033288,2,0.2866666666666666,2,0.3566666666666667,0.6433333333333333,0.0
62,8948,119.91005653360055,30.19652845551645,2,0.2866666666666667,2,0.006666666666666667,0.64,0.35333333333333333
63,12515,119.18502899781552,29.589176596531864,3,0.2866666666666667,3,0.35333333333333333,0.006666666666666667,0.64
64,14446,120.18386317468634,30.208028477133283,3,0.2866666666666667,3,0.35333333333333333,0.006666666666666667,0.64
65,2991,120.24324502341513,30.247643130892104,1,0.28666666666666674,1,0.6366666666666667,0.013333333333333334,0.35
66,7075,118.85085504666819,29.80926444722678,2,0.29,2,0.35333333333333333,0.6433333333333333,0.0033333333333333335
67,8220,120.24836407142446,30.038154563401214,2,0.2933333333333333,2,0.35333333333333333,0.6466666666666666,0.0
68,8560,120.05136544598423,30.118556614495894,2,0.2933333333333333,2,0.35333333333333333,0.6466666666666666,0.0
69,9152,120.2897757429078,30.238390496206197,2,0.2933333333333333,2,0.35333333333333333,0.6466666666666666,0.0
70,9398,119.95488387649084,30.29902535233095,2,0.2933333333333333,2,0.35333333333333333,0.6466666666666666,0.0
71,9904,120.0773263323174,30.448146609760286,2,0.2933333333333333,2,0.33,0.6233333333333333,0.04666666666666667
72,7025,119.6327494981878,29.79740769752566,2,0.29666666666666663,2,0.3466666666666667,0.6433333333333333,0.01
73,9779,120.23300246829533,30.400625969833715,2,0.29666666666666663,2,0.32666666666666666,0.6233333333333333,0.05
74,6251,119.1327460379639,29.609840070813522,2,0.2966666666666667,2,0.3333333333333333,0.63,0.03666666666666667
75,14054,120.07310356361982,30.059714316994622,3,0.2966666666666667,3,0.3333333333333333,0.03666666666666667,0.63
76,14801,120.18682847688687,30.396314019115042,3,0.3,3,0.3233333333333333,0.05333333333333334,0.6233333333333333
77,57,119.16364760826426,29.318696444831932,1,0.30000000000000004,1,0.65,0.35,0.0
78,726,119.88041242979729,29.856874269174426,1,0.30000000000000004,1,0.65,0.35,0.0
79,6978,118.84088449671266,29.78671923230056,2,0.30000000000000004,2,0.35,0.65,0.0
80,7561,120.09044054851557,29.906281108846603,2,0.30000000000000004,2,0.35,0.65,0.0
81,8687,120.28591416139551,30.143077211188793,2,0.30000000000000004,2,0.35,0.65,0.0
82,9373,120.02486500842363,30.29309920703093,2,0.30000000000000004,2,0.35,0.65,0.0
83,9405,120.16437244398173,30.300733188034428,2,0.30000000000000004,2,0.35,0.65,0.0
84,13655,119.59699642594127,29.865859357797117,3,0.30000000000000004,3,0.35,0.0,0.65
85,8583,120.22662595378887,30.121339093553242,2,0.3033333333333333,2,0.34,0.6433333333333333,0.016666666666666666
86,14119,120.12071338556746,30.077412489075744,3,0.3033333333333333,3,0.33,0.03666666666666667,0.6333333333333333
87,2166,120.35966323371846,30.181617221593722,1,0.30333333333333334,1,0.65,0.0033333333333333335,0.3466666666666667
88,8368,119.4365579700383,30.07579383539335,2,0.3066666666666666,2,0.34,0.6466666666666666,0.013333333333333334
89,85,119.177390557711,29.353009227438196,1,0.30666666666666664,1,0.6533333333333333,0.3466666666666667,0.0
90,861,119.71988479187321,29.9180531356277,1,0.30666666666666664,1,0.6533333333333333,0.3466666666666667,0.0
91,6693,119.13373595839772,29.720421317837925,2,0.30666666666666664,2,0.0,0.6533333333333333,0.3466666666666667
92,8340,119.78878682135104,30.069149774823718,2,0.30666666666666664,2,0.3466666666666667,0.6533333333333333,0.0
93,9378,120.4617142204276,30.29381712230053,2,0.30666666666666664,2,0.3466666666666667,0.6533333333333333,0.0
94,9519,120.32561799717539,30.327411989637184,2,0.30666666666666664,2,0.3466666666666667,0.6533333333333333,0.0
95,14666,120.2188091496422,30.267044679575644,3,0.30666666666666664,3,0.3466666666666667,0.0,0.6533333333333333
96,6854,119.08190336775246,29.757703861745792,2,0.3066666666666667,2,0.006666666666666667,0.65,0.3433333333333333
97,5786,119.61110056257331,29.490991650436026,2,0.30999999999999994,2,0.33666666666666667,0.6466666666666666,0.016666666666666666
98,9187,120.20398709774055,30.247464766849962,2,0.30999999999999994,2,0.016666666666666666,0.6466666666666666,0.33666666666666667
99,2531,119.59681806189914,30.208296023196493,1,0.31,1,0.6533333333333333,0.3433333333333333,0.0033333333333333335
100,5394,119.2409015340152,29.397386201122092,2,0.31,2,0.3433333333333333,0.6533333333333333,0.0033333333333333335
101,9941,120.08235619830572,30.468087709671302,2,0.31,2,0.3333333333333333,0.6433333333333333,0.023333333333333334
102,460,119.52540109942714,29.64145955638351,1,0.3133333333333333,1,0.6566666666666666,0.3433333333333333,0.0
103,5713,118.3914561606369,29.474283398788767,2,0.3133333333333333,2,0.3433333333333333,0.6566666666666666,0.0
104,7896,119.70955305473238,29.97797007648285,2,0.3133333333333333,2,0.3333333333333333,0.6466666666666666,0.02
105,9014,120.0045627213273,30.209736312836753,2,0.3133333333333333,2,0.34,0.6533333333333333,0.006666666666666667
106,9239,119.80378723729484,30.261207716296678,2,0.3133333333333333,2,0.3433333333333333,0.6566666666666666,0.0
107,9932,120.26049282628979,30.466112327904625,2,0.3133333333333333,2,0.3433333333333333,0.6566666666666666,0.0
108,10510,119.23281718380531,29.476258780555444,3,0.3133333333333333,3,0.31,0.06666666666666667,0.6233333333333333
109,10614,118.84331024768575,29.485694238384532,3,0.3133333333333333,3,0.0,0.3433333333333333,0.6566666666666666
110,14458,120.36056397213125,30.21197924066665,3,0.3133333333333333,3,0.33,0.02666666666666667,0.6433333333333333
111,14949,120.25420103470341,30.50357323585462,3,0.3133333333333333,3,0.33,0.02666666666666667,0.6433333333333333
112,9739,119.94832453884123,30.38885840215368,2,0.31333333333333335,2,0.013333333333333334,0.65,0.33666666666666667
113,12060,119.17972712666298,29.554235080677042,3,0.31333333333333335,3,0.33666666666666667,0.013333333333333334,0.65
114,4301,120.15952094203561,30.379605767467776,1,0.3166666666666666,1,0.6466666666666666,0.023333333333333334,0.33
115,7007,119.8945165664293,29.792199467495244,2,0.31666666666666665,2,0.32666666666666666,0.6433333333333333,0.03
116,9256,120.50447254042909,30.265608849036433,2,0.31666666666666665,2,0.07666666666666666,0.62,0.30333333333333334
117,8809,120.35346508325415,30.16850300539554,2,0.3166666666666667,2,0.3333333333333333,0.65,0.016666666666666666
118,13384,119.65422006976016,29.71709928755311,3,0.31999999999999995,3,0.33666666666666667,0.006666666666666667,0.6566666666666666
119,825,119.69015150604882,29.901523248022574,1,0.32,1,0.66,0.34,0.0
120,7713,120.18781839732077,29.94131626582353,2,0.32,2,0.34,0.66,0.0
121,8198,120.24872525860978,30.033753430661463,2,0.32,2,0.34,0.66,0.0
