PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method
93,9239,119.80378723729484,30.261207716296678,2,0.3133333333333333,0.1523861596415993,2,0.3433333333333333,0.6566666666666666,0.0,BAMS150
94,6000,119.19158387636408,29.544621258805822,2,0.3233333333333333,0.17645592181713904,2,0.01,0.6566666666666666,0.3333333333333333,BAMS150
95,6978,118.84088449671266,29.78671923230056,2,0.30000000000000004,0.11331358271302233,2,0.35,0.65,0.0,BAMS150
96,460,119.52540109942714,29.64145955638351,1,0.3133333333333333,0.14806072227957395,1,0.6566666666666666,0.3433333333333333,0.0,BAMS150
97,10287,118.74090253289232,29.440327344266777,3,0.39666666666666667,0.366644949462835,3,0.3,0.0033333333333333335,0.6966666666666667,BAMS150
98,14666,120.2188091496422,30.267044679575644,3,0.30666666666666664,0.1283630039049893,3,0.3466666666666667,0.0,0.6533333333333333,BAMS150
99,13813,119.86433291139853,29.95236591823397,3,0.32333333333333336,0.1711438633105168,3,0.32666666666666666,0.023333333333333334,0.65,BAMS150
100,2166,120.35966323371846,30.181617221593722,1,0.30333333333333334,0.11546766072358311,1,0.65,0.0033333333333333335,0.3466666666666667,BAMS150
101,5786,119.61110056257331,29.490991650436026,2,0.30999999999999994,0.13212214829421606,2,0.33666666666666667,0.6466666666666666,0.016666666666666666,BAMS150
102,13384,119.65422006976016,29.71709928755311,3,0.31999999999999995,0.1561352647480999,3,0.33666666666666667,0.006666666666666667,0.6566666666666666,BAMS150
103,9966,120.0938517608215,30.49144448098925,2,0.26666666666666666,0.014537548972465517,2,0.0,0.6333333333333333,0.36666666666666664,BAMS150
104,9398,119.95488387649084,30.29902535233095,2,0.2933333333333333,0.08343144438824002,2,0.35333333333333333,0.6466666666666666,0.0,BAMS150
105,57,119.16364760826426,29.318696444831932,1,0.30000000000000004,0.1008903192631565,1,0.65,0.35,0.0,BAMS150
106,14119,120.12071338556746,30.077412489075744,3,0.3033333333333333,0.10665082891012974,3,0.33,0.03666666666666667,0.6333333333333333,BAMS150
107,7400,119.81384696927141,29.871968326240335,2,0.32666666666666666,0.1678486788157729,2,0.33666666666666667,0.6633333333333333,0.0,BAMS150
108,861,119.71988479187321,29.9180531356277,1,0.30666666666666664,0.11517647033812715,1,0.6533333333333333,0.3466666666666667,0.0,BAMS150
109,9985,120.32633591244499,30.515608349597873,2,0.2766666666666667,0.03538254776352414,2,0.0033333333333333335,0.6366666666666667,0.36,BAMS150
110,7379,119.8995464324176,29.869542575267264,2,0.2833333333333334,0.0496340619255567,2,0.01,0.6366666666666667,0.35333333333333333,BAMS150
111,2991,120.24324502341513,30.247643130892104,1,0.28666666666666674,0.05732221850492504,1,0.6366666666666667,0.013333333333333334,0.35,BAMS150
112,85,119.177390557711,29.353009227438196,1,0.30666666666666664,0.1096828723777113,1,0.6533333333333333,0.3466666666666667,0.0,BAMS150
113,14446,120.18386317468634,30.208028477133283,3,0.2866666666666667,0.05336910395805964,3,0.35333333333333333,0.006666666666666667,0.64,BAMS150
114,2531,119.59681806189914,30.208296023196493,1,0.31,0.11248218188778153,1,0.6533333333333333,0.3433333333333333,0.0033333333333333335,BAMS150
115,12610,119.11055755112194,29.599686697714823,3,0.39333333333333337,0.32875978903624653,3,0.27666666666666667,0.05333333333333334,0.67,BAMS150
116,9014,120.0045627213273,30.209736312836753,2,0.3133333333333333,0.1121298904017672,2,0.34,0.6533333333333333,0.006666666666666667,BAMS150
117,825,119.69015150604882,29.901523248022574,1,0.32,0.12806520267672375,1,0.66,0.34,0.0,BAMS150
118,14458,120.36056397213125,30.21197924066665,3,0.3133333333333333,0.11014018859536596,3,0.33,0.02666666666666667,0.6433333333333333,BAMS150
119,8583,120.22662595378887,30.121339093553242,2,0.3033333333333333,0.08043170782671794,2,0.34,0.6433333333333333,0.016666666666666666,BAMS150
120,5713,118.3914561606369,29.474283398788767,2,0.3133333333333333,0.10359303799665609,2,0.3433333333333333,0.6566666666666666,0.0,BAMS150
121,9256,120.50447254042909,30.265608849036433,2,0.31666666666666665,0.11232717142344838,2,0.07666666666666666,0.62,0.30333333333333334,BAMS150
122,220,119.0721111818391,29.46161509269593,1,0.32666666666666666,0.13853039760173882,1,0.6633333333333333,0.33666666666666667,0.0,BAMS150
123,6693,119.13373595839772,29.720421317837925,2,0.30666666666666664,0.07837906974418772,2,0.0,0.6533333333333333,0.3466666666666667,BAMS150
124,4,119.07372537642044,29.249883597375153,1,0.3466666666666667,0.18327971974102203,1,0.6733333333333333,0.32666666666666666,0.0,BAMS150
