system:index,Original_ID,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
00000000000000000bbb_0,3003,2191.8333333333326,140.47854719572743,1987.499999999999,178.89801564019652,1020.3333333333331,33.82224777338792,1187.1111111111106,19.42761176175137,1295.7777777777776,31.04397518137415,1633.0555555555552,128.55120995248197,1,-0.29629305,0.0248381954585679,0.14611864,0.0567569707597752,0.11355328,0.0453892230918004,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec2_0,3778,2768.5555555555547,129.14041549251897,2332.388888888888,162.70641211461148,1244.9444444444443,205.60431854041664,1061.2777777777774,270.9856608661458,1756.555555555555,339.5467930806566,2626.1111111111104,242.9106806326803,1,-0.45264566,0.089220743633729,0.027950175,0.0493629365878387,0.20536748,0.0560790461631593,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000f9e_0,3998,2602.888888888888,111.3030841585703,2304.3888888888887,105.56719234101728,981.111111111111,104.39848279489722,1212.8888888888887,139.5862492785526,1506.8888888888885,178.6234054866669,2109.444444444444,155.41690249212633,1,-0.3653966,0.0555243018876264,0.10544451,0.0371458551133611,0.16834165,0.0283232241810448,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011fb_0,4603,2112.666666666666,84.35045939412541,1885.7222222222215,81.87833491464704,1046.0555555555552,100.5259624962748,1242.7777777777774,101.31006068037752,1412.5555555555552,111.14266218705072,1885.8333333333328,232.34074593626968,1,-0.26011923,0.0356343749496265,0.059797104,0.0452341153674163,0.14113799,0.0491897085077145,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052b_0,1323,2088.879629629629,226.2990486739332,1543.9722222222215,220.87824840233588,842.7836419753085,152.85191491017883,1071.0246913580245,181.26364072621365,1129.5776014109344,234.5184607362605,2297.318518518518,267.7312832439157,1,-0.32502666,0.0591034420144188,-0.0471502,0.0235618536178516,0.34612435,0.0795048518025656,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d63_0,3427,2318.999999999999,50.91168824543142,1758.6666666666658,31.584102892999123,945.7777777777776,147.97730890449836,1238.6666666666663,191.82399340135856,1243.333333333333,158.0576547409907,2474.999999999999,231.8275220934736,1,-0.3070123,0.0753689566675884,-0.030173883,0.0473551086351665,0.3310697,0.0636412729675271,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d82_0,3458,2312.925925925925,186.9094297918919,1941.981481481481,156.3886657674395,1031.6518518518517,255.14506373032805,1220.6574074074072,332.259356537718,1340.8703703703702,460.7570982269606,2288.541666666666,263.30325806923935,1,-0.32101828,0.1016309638529679,0.006898457,0.040800005495621,0.28091994,0.1247048307837545,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001064_0,4196,1873.888888888888,116.49648964138508,1558.8888888888885,188.24183290204357,936.444444444444,130.05905591188693,1144.7777777777776,143.11904739899265,1320.7777777777774,215.96901926885408,2071.1111111111104,180.36410362525888,1,-0.24416018,0.0452978216807074,-0.04894552,0.0585793000018654,0.22354491,0.1057553046378392,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000137a_0,4986,1731.555555555555,216.64313262501636,1574.2222222222215,179.70023049374817,916.8888888888886,130.68064928965362,914.1111111111107,237.21600304103737,1004.6666666666662,288.47915387809604,1605.1111111111106,250.19301191255613,1,-0.31127688,0.1696612559873204,0.039014105,0.1002444759973764,0.24219501,0.1225778238852263,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047_0,71,2022.6666666666663,76.13183010775161,1654.1666666666663,125.62930479080994,971.4999999999998,285.8848835924465,1189.444444444444,296.172945388749,1265.7777777777774,345.12575092365586,2134.4999999999995,212.50960762594556,1,-0.26972148,0.1040902262915759,-0.024777645,0.0387714859739418,0.26787657,0.08327799029518,"{""type"":""MultiPoint"",""coordinates"":[]}"
