held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Hefei,0,B1_local_oracle,10343,13,0.931218105169736,0.8960065261548608,241,0.4,80
Hefei,0,B2_loco_gated,10343,156,0.9241180386066119,0.8852928385362792,271,0.43333333333333335,76
Hefei,0,B3_loco_ungated,10343,272,0.9194586199245618,0.87825503353707,296,0.46,72
Hefei,0,B4_random_flip,10343,156,0.9285555802085644,0.8919523100960526,248,0.38,81
Hefei,1,B0_baseline,10072,0,0.9390958560066973,0.9085759005885106,237,0.4,77
Hefei,1,B1_local_oracle,10072,11,0.9411887819171202,0.9117027475295383,227,0.41333333333333333,76
Hefei,1,B2_loco_gated,10072,152,0.9317706153202177,0.8974291908009282,276,0.44,73
Hefei,1,B3_loco_ungated,10072,271,0.9259104227710339,0.88854989043848,302,0.4666666666666667,68
Hefei,1,B4_random_flip,10072,152,0.9376308078694015,0.9063561172465682,245,0.44,73
Hefei,2,B0_baseline,9755,0,0.9336604514229637,0.8979008341301046,263,0.37333333333333335,81
Hefei,2,B1_local_oracle,9755,8,0.9350343473994112,0.8999823799561117,258,0.3933333333333333,78
Hefei,2,B2_loco_gated,9755,145,0.9295387634936212,0.891203424474529,281,0.4,78
Hefei,2,B3_loco_ungated,9755,276,0.9248282630029441,0.8835108363095586,303,0.43333333333333335,73
Hefei,2,B4_random_flip,9755,145,0.9326790971540726,0.8964660900133056,268,0.42,75
Hefei,3,B0_baseline,9599,0,0.9325842696629213,0.8975914695974003,289,0.4266666666666667,74
Hefei,3,B1_local_oracle,9599,10,0.9323938297467149,0.897327583120592,291,0.44,73
Hefei,3,B2_loco_gated,9599,123,0.9257284326794896,0.8874992975195284,325,0.46,70
Hefei,3,B3_loco_ungated,9599,238,0.9196343553608837,0.8785610246302913,356,0.5066666666666667,63
Hefei,3,B4_random_flip,9599,123,0.9322033898305084,0.8970550010397171,292,0.41333333333333333,77
Hefei,4,B0_baseline,10383,0,0.9404522050593239,0.9068565466085303,219,0.4066666666666667,79
Hefei,4,B1_local_oracle,10383,11,0.9393328856055518,0.9050861100121323,224,0.4266666666666667,75
Hefei,4,B2_loco_gated,10383,151,0.9337362883366913,0.8968476493348074,250,0.44,72
