held_out,seed,tau,q,n_corrected,Human_OA,Human_BE,WC_OA,WC_BE
Nanchang,2,0.85,0.2,155,0.3333333333333333,75,0.8786102971954792,215
Nanchang,3,0.85,0.2,134,0.32666666666666666,76,0.9027228809837505,239
Nanchang,4,0.85,0.2,145,0.32,77,0.9143298741444027,260
Nanchang,0,0.9,0.05,15,0.2733333333333333,83,0.902676399026764,200
Nanchang,1,0.9,0.05,18,0.28,83,0.901131625967838,204
Nanchang,2,0.9,0.05,17,0.2733333333333333,84,0.8855169526998744,186
Nanchang,3,0.9,0.05,16,0.3,81,0.9108476064997804,206
Nanchang,4,0.9,0.05,15,0.28,83,0.9165378670788253,248
Nanchang,0,0.9,0.1,40,0.28,82,0.9031187790311878,200
Nanchang,1,0.9,0.1,40,0.28,83,0.9021242803255907,202
Nanchang,2,0.9,0.1,34,0.2733333333333333,83,0.8840519045625785,188
Nanchang,3,0.9,0.1,39,0.30666666666666664,79,0.9110671936758893,204
Nanchang,4,0.9,0.1,36,0.26666666666666666,84,0.9169794656657099,247
Nanchang,0,0.9,0.2,59,0.28,83,0.9042247290422473,201
Nanchang,1,0.9,0.2,62,0.29333333333333333,81,0.9005360333531864,205
Nanchang,2,0.9,0.2,52,0.2866666666666667,82,0.8825868564252826,198
Nanchang,3,0.9,0.2,54,0.31333333333333335,79,0.9099692577953448,210
Nanchang,4,0.9,0.2,58,0.28,83,0.9156546699050563,255
Nanjing,0,0.7,0.05,131,0.5333333333333333,56,0.906096256684492,354
Nanjing,1,0.7,0.05,108,0.52,57,0.919609756097561,315
Nanjing,2,0.7,0.05,121,0.54,54,0.9240804106073567,267
Nanjing,3,0.7,0.05,116,0.5333333333333333,55,0.9095293209876543,353
Nanjing,4,0.7,0.05,124,0.5266666666666666,57,0.9080188679245284,343
Nanjing,0,0.7,0.1,248,0.5866666666666667,48,0.9011764705882352,377
Nanjing,1,0.7,0.1,247,0.56,52,0.9127804878048781,347
Nanjing,2,0.7,0.1,252,0.6,47,0.9234388366124893,276
Nanjing,3,0.7,0.1,234,0.5266666666666666,56,0.9045138888888888,381
Nanjing,4,0.7,0.1,258,0.5933333333333334,49,0.9020154373927959,370
Nanjing,0,0.7,0.2,458,0.5866666666666667,50,0.8872727272727273,437
Nanjing,1,0.7,0.2,447,0.6066666666666667,46,0.9049756097560976,383
Nanjing,2,0.7,0.2,472,0.6066666666666667,46,0.9082549187339607,340
Nanjing,3,0.7,0.2,420,0.5666666666666667,51,0.890625,449
Nanjing,4,0.7,0.2,447,0.6066666666666667,47,0.8897941680960549,428
Nanjing,0,0.8,0.05,76,0.5133333333333333,59,0.906951871657754,351
Nanjing,1,0.8,0.05,66,0.5066666666666667,58,0.9190243902439025,315
Nanjing,2,0.8,0.05,75,0.5266666666666666,56,0.9223695466210436,275
Nanjing,3,0.8,0.05,59,0.49333333333333335,60,0.9099151234567902,353
Nanjing,4,0.8,0.05,78,0.5133333333333333,58,0.9093053173241853,339
Nanjing,0,0.8,0.1,126,0.5533333333333333,53,0.90524064171123,356
Nanjing,1,0.8,0.1,125,0.5133333333333333,59,0.9139512195121952,338
Nanjing,2,0.8,0.1,127,0.5466666666666666,54,0.9200171086398631,287
Nanjing,3,0.8,0.1,110,0.5133333333333333,58,0.9087577160493827,359
Nanjing,4,0.8,0.1,133,0.5333333333333333,56,0.9078044596912521,348
Nanjing,0,0.8,0.2,199,0.5666666666666667,52,0.8990374331550802,385
Nanjing,1,0.8,0.2,195,0.54,55,0.9118048780487805,351
Nanjing,2,0.8,0.2,211,0.56,53,0.9195893926432849,290
Nanjing,3,0.8,0.2,184,0.5533333333333333,53,0.9077932098765432,371
Nanjing,4,0.8,0.2,198,0.5666666666666667,52,0.9030874785591767,368
Nanjing,0,0.85,0.05,36,0.49333333333333335,62,0.9080213903743316,345
Nanjing,1,0.85,0.05,34,0.4866666666666667,63,0.9194146341463415,311
Nanjing,2,0.85,0.05,39,0.5133333333333333,57,0.9238665526090676,272
Nanjing,3,0.85,0.05,30,0.48,62,0.9112654320987654,348
Nanjing,4,0.85,0.05,40,0.4866666666666667,62,0.910377358490566,334
Nanjing,0,0.85,0.1,59,0.5066666666666667,60,0.9058823529411765,352
Nanjing,1,0.85,0.1,59,0.49333333333333335,61,0.9180487804878049,319
Nanjing,2,0.85,0.1,61,0.5333333333333333,55,0.9240804106073567,271
Nanjing,3,0.85,0.1,46,0.48,61,0.9103009259259259,355
Nanjing,4,0.85,0.1,62,0.5,60,0.9108061749571184,336
Nanjing,0,0.85,0.2,92,0.52,58,0.9054545454545454,356
Nanjing,1,0.85,0.2,84,0.5,60,0.9162926829268293,325
Nanjing,2,0.85,0.2,88,0.54,55,0.9219418306244653,280
Nanjing,3,0.85,0.2,72,0.5066666666666667,58,0.9112654320987654,348
