PointID,Original_ID,lon,lat,Class,margin,BoundaryScore,RF_Pred,prob_1,prob_2,prob_3,Method
50,6014,117.39143708686122,32.18120182253353,2,0.35333333333333333,1162.8829979480697,2,0.3233333333333333,0.6766666666666666,0.0,BAMS150
51,558,117.22848269432193,31.762137742491777,1,0.5866666666666667,1161.807592583947,1,0.7933333333333333,0.20666666666666667,0.0,BAMS150
52,4095,117.47066849492056,32.02184069113073,1,0.5266666666666666,1161.7231730544834,1,0.7633333333333333,0.23666666666666666,0.0,BAMS150
53,3067,117.13092565446657,32.547983953039534,1,0.52,1152.3551649636618,1,0.76,0.24,0.0,BAMS150
54,9835,117.45997854303954,31.84253696042047,2,0.5433333333333333,1151.7029542133532,2,0.16666666666666666,0.71,0.12333333333333334,BAMS150
55,9013,117.12805104555736,31.988872520203543,2,0.3133333333333333,1144.5099865659918,2,0.34,0.6533333333333333,0.006666666666666667,BAMS150
56,4410,117.53453871162144,32.18937649161902,1,0.5533333333333332,1141.0956007256868,1,0.7766666666666666,0.22333333333333333,0.0,BAMS150
57,2023,117.46914135893756,31.751268127553928,1,0.4466666666666667,1138.7399182997092,1,0.7233333333333334,0.27666666666666667,0.0,BAMS150
58,9274,117.1891364848775,31.792590630623422,2,0.4266666666666667,1134.9364174339346,2,0.2866666666666667,0.7133333333333334,0.0,BAMS150
59,6428,117.20018576287217,32.614010126422315,2,0.30666666666666664,1127.9343748441593,2,0.3466666666666667,0.6533333333333333,0.0,BAMS150
60,14901,117.29414954159108,31.866611810034875,3,0.56,1127.091515140826,3,0.15666666666666668,0.12666666666666668,0.7166666666666667,BAMS150
61,4968,117.23225561851524,31.86508467405187,1,0.48000000000000004,1125.387374996467,1,0.7366666666666667,0.25666666666666665,0.006666666666666667,BAMS150
62,4714,117.22542842235592,31.74084767025814,1,0.52,1118.6700065795865,1,0.76,0.24,0.0,BAMS150
63,1857,117.44704280294822,31.968211268668792,1,0.4066666666666667,1115.5103079013716,1,0.7033333333333334,0.2966666666666667,0.0,BAMS150
64,5887,117.19524502880952,32.19485621485215,2,0.4066666666666667,1113.7058649722285,2,0.2966666666666667,0.7033333333333334,0.0,BAMS150
65,3230,117.17278714670653,31.855652363568616,1,0.43999999999999995,1109.3759454356068,1,0.72,0.28,0.0,BAMS150
66,1693,117.80717740035172,32.16871524008427,1,0.4266666666666667,1103.7189855382487,1,0.7133333333333334,0.2866666666666667,0.0,BAMS150
67,5902,117.60820056491926,32.20195290559669,2,0.39999999999999997,1100.7754808542209,2,0.3,0.7,0.0,BAMS150
68,7767,117.31184635268822,31.999113314442504,2,0.4066666666666667,1099.0678541357274,2,0.2966666666666667,0.7033333333333334,0.0,BAMS150
69,6469,117.20880958959972,31.6210124113566,2,0.2933333333333333,1097.6881377040645,2,0.35333333333333333,0.6466666666666666,0.0,BAMS150
70,4740,117.5835867261344,31.851879439375313,1,0.54,1096.7272496708595,1,0.77,0.23,0.0,BAMS150
71,6305,117.36853004711617,32.441174265757724,2,0.5466666666666667,1094.9748776033477,2,0.21,0.7566666666666667,0.03333333333333333,BAMS150
72,8482,117.25094057642492,31.78270916249811,2,0.37,1093.6339536980636,2,0.31333333333333335,0.6833333333333333,0.0033333333333333335,BAMS150
73,10588,117.4229679533338,31.77803792302069,3,0.3266666666666667,1090.639995333344,3,0.31,0.05333333333333334,0.6366666666666667,BAMS150
74,3019,117.26926620822096,31.80193310957827,1,0.54,1090.4645703542851,1,0.77,0.23,0.0,BAMS150
75,9197,117.027439733736,32.54483984954511,2,0.30000000000000004,1088.0744248707813,2,0.35,0.65,0.0,BAMS150
76,2910,117.37239280283788,31.8750559737056,1,0.5066666666666666,1086.1754999806421,1,0.7533333333333333,0.24666666666666667,0.0,BAMS150
77,1410,117.50624178017168,32.08436343490545,1,0.5666666666666667,1083.625324304537,1,0.7833333333333333,0.21666666666666667,0.0,BAMS150
78,8505,117.12643407804596,31.81459935508435,2,0.4733333333333334,1078.0331902331852,2,0.2633333333333333,0.7366666666666667,0.0,BAMS150
79,545,117.21132487239524,31.751268127553928,1,0.5433333333333333,1074.3474031943254,1,0.77,0.22666666666666666,0.0033333333333333335,BAMS150
80,487,117.43437655744212,31.925541292673117,1,0.5133333333333334,1070.8180765962127,1,0.7566666666666667,0.24333333333333335,0.0,BAMS150
81,8602,117.00965309111042,32.44611499982038,2,0.28,1068.7539589596695,2,0.36,0.64,0.0,BAMS150
82,5015,116.85819713420788,31.87514580523401,2,0.5266666666666666,1068.656725533076,2,0.23666666666666666,0.7633333333333333,0.0,BAMS150
83,17,117.20764177973037,31.82951138880074,1,0.48999999999999994,1063.1833320353394,1,0.7433333333333333,0.25333333333333335,0.0033333333333333335,BAMS150
84,2666,117.05699430658352,32.60314051148447,1,0.45333333333333337,1061.7348262015028,1,0.7266666666666667,0.2733333333333333,0.0,BAMS150
85,9688,117.72749683465032,31.96443834447549,2,0.3866666666666667,1060.7741344507451,2,0.30666666666666664,0.6933333333333334,0.0,BAMS150
86,1869,117.49896542637032,32.13943016182198,1,0.53,1059.70613443737,1,0.7633333333333333,0.23333333333333334,0.0033333333333333335,BAMS150
87,7925,116.74357210395422,31.82609779072109,2,0.58,1058.4212600706346,2,0.20333333333333334,0.7833333333333333,0.013333333333333334,BAMS150
88,2717,117.55043889215035,31.76707847655443,1,0.51,1056.5443675293873,1,0.7533333333333333,0.24333333333333335,0.0033333333333333335,BAMS150
89,13362,117.3545163286839,31.713808380206142,3,0.5566666666666666,1056.4066154575655,3,0.07,0.18666666666666668,0.7433333333333333,BAMS150
90,1381,117.02510411399729,32.593259043359154,1,0.5233333333333333,1055.8498564963338,1,0.76,0.23666666666666666,0.0033333333333333335,BAMS150
91,1631,117.22704538986734,31.82133671971525,1,0.47000000000000003,1048.1037939798484,1,0.7266666666666667,0.016666666666666666,0.25666666666666665,BAMS150
92,6480,117.01657011879814,31.873528837722596,2,0.5766666666666667,1044.3152553321866,2,0.20666666666666667,0.7833333333333333,0.01,BAMS150
93,8345,117.3725724658947,32.05750380791027,2,0.42,1040.617589905222,2,0.29,0.71,0.0,BAMS150
