Original_ID,lon,lat,Class,margin,Human_Class,Conf,WC_local,WC_bams,City,DW_raw,ESRI_raw,WC_ee_raw,WC_C3,DW_C3,ESRI_C3,WC_ee_C3
4399,113.78128762304168,30.319982385366295,1,0.5533333333333332,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
11931,114.11680838166032,30.628374022404525,3,0.4733333333333333,3.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
6266,114.55545573489589,30.80776758464319,2,0.5566666666666666,2.0,med,2,2,Wuhan,0,1,30,2.0,3,3,2
1032,114.41927113782336,30.900833048077978,1,0.4533333333333333,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
3152,114.78039388203942,30.9626371396254,1,0.4266666666666667,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
5609,114.38783010287918,30.07357450293231,2,0.37,2.0,med,2,2,Wuhan,0,1,60,2.0,3,3,2
4119,113.89896692526132,30.291326127802883,1,0.5466666666666666,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
7264,114.33033792469551,30.861486838633542,2,0.4733333333333334,1.0,high,2,2,Wuhan,6,7,10,2.0,1,1,2
5221,114.8126434007393,30.65990488887712,2,0.5533333333333332,2.0,med,2,2,Wuhan,6,7,30,2.0,1,1,2
13415,114.34857372496316,30.70778509352069,3,0.51,2.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
356,114.50991114999104,31.0445634935371,1,0.48,2.0,high,1,1,Wuhan,1,7,50,1.0,2,1,1
1228,114.31650386932009,30.64454369751868,1,0.48,1.0,med,1,1,Wuhan,6,7,50,1.0,1,1,1
8164,114.31380892346772,31.06980615302086,2,0.5266666666666666,2.0,med,2,2,Wuhan,6,7,10,2.0,1,1,2
6480,114.02212595071413,30.441614274836077,2,0.4899999999999999,1.0,high,2,2,Wuhan,6,7,30,2.0,1,1,2
11377,114.31461740722344,30.609509401438014,3,0.2633333333333333,2.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
12890,114.00829189533869,30.74758046060719,3,0.3966666666666666,2.0,med,3,3,Wuhan,0,1,80,3.0,3,3,3
5182,113.74266006582454,30.442422758591785,2,0.3333333333333333,2.0,med,2,2,Wuhan,6,7,60,2.0,1,1,2
7368,114.3842368417427,30.355914996731077,2,0.3666666666666667,2.0,med,2,2,Wuhan,6,1,30,2.0,1,3,2
8289,114.03057011438484,30.79312504551205,2,0.35,2.0,high,2,2,Wuhan,4,5,40,2.0,2,2,2
2742,114.32351072853622,30.4748519403485,1,0.2966666666666666,2.0,high,1,1,Wuhan,6,7,50,1.0,1,1,1
9555,114.5998325099314,30.75476698288014,2,0.56,2.0,high,2,2,Wuhan,6,7,40,2.0,1,1,2
6997,113.94010976527402,30.50871842655981,2,0.3799999999999999,1.0,med,2,2,Wuhan,6,7,10,2.0,1,1,2
