system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,lat,lon,.geo,Margin,Original_ID
4161,2137.0,1533.0,809.0,1116.0,975.0,3272.0,1,-0.3138641,-0.20983545,0.54085237,31.690811508932686,117.4633921411192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.46339214111919,31.690811508932686]}",0.2833333333333333,4161
2917,2181.0,1508.5,546.5,736.0,659.5,2782.0,1,-0.49537197,-0.12109611,0.6167369,31.83193684006786,117.16784641264388,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.16784641264387,31.83193684006786]}",0.2866666666666666,2917
4921,2581.0,1886.0,778.0,1044.0,1114.0,2571.5,1,-0.424,0.0018437651,0.39546874,32.03235097995493,117.65185868772748,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.65185868772747,32.03235097995493]}",0.2866666666666666,4921
9152,2281.0,1960.0,1254.0,1447.0,1546.0,2159.5,2,-0.22371244,0.027361784,0.1655647,31.77525314563992,117.42925616032264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.42925616032265,31.77525314563992]}",0.2866666666666666,9152
8421,2140.5,1940.5,1444.0,1690.0,1831.0,2153.5,2,-0.11760867,-0.00302748,0.08093864,31.90874279686008,117.29531735146044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.29531735146043,31.908742796860082]}",0.2866666666666666,8421
4649,2293.0,1728.0,643.0,928.0,886.0,2774.0,1,-0.42378142,-0.09492797,0.51584697,31.848106515182018,116.8877517070554,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.8877517070554,31.848106515182014]}",0.2866666666666666,4649
8396,2360.0,2061.0,1438.0,1666.0,1826.0,2314.0,2,-0.17237954,0.009841678,0.1178744,32.57762835741548,116.9937529105815,"{""geodesic"":false,""type"":""Point"",""coordinates"":[116.9937529105815,32.57762835741548]}",0.2866666666666666,8396
9777,437.0,280.0,462.0,590.0,402.0,310.5,2,0.14897761,0.16923077,-0.12842105,32.161528717811315,117.70836271909856,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.70836271909857,32.161528717811315]}",0.2866666666666666,9777
7227,2093.5,1728.0,962.0,1040.0,1044.0,2076.0,2,-0.3362055,0.004197146,0.33076924,32.155599836936126,117.4507258956131,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.4507258956131,32.155599836936126]}",0.2866666666666666,7227
11495,1427.0,1141.5,808.0,1016.5,936.0,1186.0,3,-0.16799672,0.092231154,0.117813386,32.0246254685115,117.44578516155045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[117.44578516155045,32.0246254685115]}",0.2866666666666667,11495
