[    58s] [P2|Nanchang |s2] B2_loco_gated     n_corr=  23 WC_OA=0.8845 WC_BE=186 Hum_OA=0.3000 Hum_BE= 80
[    59s] [P2|Nanchang |s2] B3_loco_ungated   n_corr=  48 WC_OA=0.8838 WC_BE=187 Hum_OA=0.3133 Hum_BE= 77
[    60s] [P2|Nanchang |s2] B4_random_flip    n_corr=  23 WC_OA=0.8851 WC_BE=183 Hum_OA=0.2667 Hum_BE= 84
[    61s] [P2|Nanchang |s3] B0_baseline       n_corr=   0 WC_OA=0.9111 WC_BE=210 Hum_OA=0.2800 Hum_BE= 83
[    62s] [P2|Nanchang |s3] B1_local_oracle   n_corr=  36 WC_OA=0.9113 WC_BE=204 Hum_OA=0.3200 Hum_BE= 77
[    63s] [P2|Nanchang |s3] B2_loco_gated     n_corr=  20 WC_OA=0.9108 WC_BE=205 Hum_OA=0.3067 Hum_BE= 80
[    64s] [P2|Nanchang |s3] B3_loco_ungated   n_corr=  38 WC_OA=0.9104 WC_BE=208 Hum_OA=0.3200 Hum_BE= 78
[    65s] [P2|Nanchang |s3] B4_random_flip    n_corr=  20 WC_OA=0.9106 WC_BE=208 Hum_OA=0.2867 Hum_BE= 82
[    66s] [P2|Nanchang |s4] B0_baseline       n_corr=   0 WC_OA=0.9183 WC_BE=240 Hum_OA=0.2533 Hum_BE= 87
[    67s] [P2|Nanchang |s4] B1_local_oracle   n_corr=  39 WC_OA=0.9183 WC_BE=244 Hum_OA=0.3000 Hum_BE= 79
[    68s] [P2|Nanchang |s4] B2_loco_gated     n_corr=  18 WC_OA=0.9207 WC_BE=235 Hum_OA=0.2733 Hum_BE= 84
[    69s] [P2|Nanchang |s4] B3_loco_ungated   n_corr=  45 WC_OA=0.9198 WC_BE=237 Hum_OA=0.3000 Hum_BE= 79
[    70s] [P2|Nanchang |s4] B4_random_flip    n_corr=  18 WC_OA=0.9159 WC_BE=251 Hum_OA=0.2733 Hum_BE= 84
[    71s] [P2|Nanjing  |s0] B0_baseline       n_corr=   0 WC_OA=0.9099 WC_BE=336 Hum_OA=0.4667 Hum_BE= 65
[    72s] [P2|Nanjing  |s0] B1_local_oracle   n_corr= 127 WC_OA=0.9022 WC_BE=375 Hum_OA=0.5933 Hum_BE= 47
[    72s] [P2|Nanjing  |s0] B2_loco_gated     n_corr=   6 WC_OA=0.9095 WC_BE=336 Hum_OA=0.4667 Hum_BE= 66
