system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Error_Probability
7113,1954.5,1770.5,700.0,888.0,982.0,1805.5,2,-0.3751979,0.03962766,0.295426,7113,31.34280416786478,119.06832222772712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.06832222772712,31.34280416786478]}",0.464
1464,1863.0,1792.0,1188.0,1428.0,1497.0,1913.0,1,-0.13217866,-0.013241526,0.12199414,1464,31.928415901582294,118.37545164908572,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.37545164908573,31.928415901582298]}",0.464
4242,1477.5,990.0,796.5,942.5,919.0,1902.0,1,-0.22107439,-0.12561029,0.348458,4242,32.27399779138308,118.72067421277286,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.72067421277286,32.27399779138308]}",0.464
1285,3124.5,2778.0,1182.0,1505.0,1581.0,2919.0,1,-0.3498218,0.034003474,0.29733333,1285,32.37236331499417,118.78957499506484,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.78957499506484,32.37236331499417]}",0.464
1515,1332.0,1004.0,786.0,840.0,871.0,1274.0,1,-0.22651933,0.022256332,0.18787879,1515,32.47207631153143,118.73181332229596,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.73181332229595,32.47207631153143]}",0.464
12360,789.0,600.0,603.0,820.5,789.5,925.0,3,0.019571295,-0.07934656,0.07903179,12360,31.319268307420852,118.81921939944078,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.81921939944078,31.319268307420852]}",0.464
4488,2602.0,2470.5,1357.0,1687.0,1914.0,2439.0,1,-0.21333644,0.032334853,0.120606475,4488,32.25890609460987,118.78059184222364,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.78059184222364,32.25890609460987]}",0.464
4223,1390.0,1086.0,533.0,605.0,866.0,1332.0,1,-0.3934837,0.021307861,0.21201092,4223,31.66116710455674,119.03616254055564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.03616254055565,31.66116710455674]}",0.462
4594,1483.0,1352.5,966.5,1079.0,1273.0,1727.0,1,-0.1576893,-0.07601246,0.15133333,4594,31.38412667093428,118.99052812412238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.99052812412238,31.38412667093428]}",0.462
4417,2052.0,1525.5,547.5,771.0,1062.0,1987.5,1,-0.45377257,0.015967323,0.30349237,4417,31.720276250251803,118.980197498355,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.980197498355,31.720276250251803]}",0.462
7126,2189.5,1570.5,852.0,1090.0,1234.0,2484.5,2,-0.33526453,-0.063115105,0.33629152,7126,32.05274273690444,118.86853690853894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.86853690853894,32.05274273690444]}",0.462
13090,473.5,383.5,918.5,1167.0,1009.0,554.5,3,0.42273697,-0.07879377,-0.29069397,13090,31.33804309685895,118.83556873761177,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.83556873761175,31.33804309685895]}",0.462
2281,2118.5,1865.0,715.5,875.0,918.5,1571.0,1,-0.41540003,0.1483941,0.26210082,2281,32.36760224398833,118.93573089179108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.93573089179108,32.36760224398833]}",0.462
1657,1667.5,1377.5,1031.0,1168.0,1209.0,1758.0,1,-0.17615941,-0.0264195,0.1850354,1657,31.655417886738377,118.90096609029564,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.90096609029565,31.655417886738377]}",0.462
4666,1843.5,1429.5,685.5,1020.5,875.0,1519.0,1,-0.28736034,0.096505575,0.26900584,4666,32.02785940353433,118.72893871338675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.72893871338677,32.02785940353433]}",0.462
4609,1840.0,1757.5,660.0,826.0,829.5,1529.0,1,-0.38034508,0.09231226,0.2965868,4609,31.95985693652648,118.7103435870055,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.7103435870055,31.95985693652648]}",0.462
7284,1789.0,1185.5,593.5,754.5,842.5,1988.0,2,-0.40672302,-0.052687317,0.40469882,7284,31.96389935530502,118.46977475391829,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.46977475391829,31.96389935530502]}",0.462
8735,2052.0,1314.0,400.0,600.0,600.0,1814.0,2,-0.54751134,0.061562337,0.50289977,8735,31.609963133361926,118.88812018173276,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.88812018173275,31.609963133361926]}",0.462
1391,2162.0,2461.0,1196.0,844.0,772.0,1848.0,1,-0.43845642,0.07830424,0.41068703,1391,31.662784072068156,119.05871025418703,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.05871025418705,31.662784072068156]}",0.462
10871,1001.5,690.5,853.5,1107.0,1035.0,1080.0,3,0.05003557,-0.03771319,0.021276595,10871,31.4241017010776,118.83305345481622,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.83305345481622,31.4241017010776]}",0.462
3034,1630.0,1437.0,724.0,813.5,705.0,1723.0,1,-0.33415183,-0.027736355,0.41927513,3034,31.328161628733636,118.88425742601105,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.88425742601103,31.328161628733636]}",0.462
10266,385.5,225.0,702.5,946.5,738.0,433.5,3,0.42117116,-0.05860806,-0.2599232,10266,32.247138164387906,118.90752379186974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.90752379186974,32.247138164387906]}",0.462
5287,2049.5,1415.0,650.0,818.5,914.5,1952.0,2,-0.42921898,0.024365863,0.36193964,5287,31.72234237540528,118.80143275681522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.80143275681522,31.72234237540528]}",0.462
486,2013.0,1714.5,733.5,1095.0,1053.0,1645.0,1,-0.2953668,0.10060142,0.21942179,486,31.8622998966711,118.59365243159836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.59365243159837,31.8622998966711]}",0.462
465,1682.5,1594.0,861.5,1103.0,1244.0,1647.0,1,-0.20804164,0.010662261,0.13939813,465,31.88430862113203,118.61539166147406,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.61539166147406,31.88430862113203]}",0.462
4482,2689.0,2275.0,1078.0,1456.0,2091.0,2866.5,1,-0.2974668,-0.03195032,0.15642965,4482,32.13772336278215,118.98936031425302,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.98936031425302,32.13772336278215]}",0.462
3856,2050.5,1828.0,1309.0,1375.0,1480.0,2526.5,1,-0.19719748,-0.10399825,0.26120055,3856,32.2801961668435,118.81176338258258,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.81176338258258,32.2801961668435]}",0.462
42,1041.0,901.0,838.0,988.0,1088.0,1720.0,1,-0.026121242,-0.2459254,0.22507122,42,32.5063919553848,118.68042968804431,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.68042968804431,32.5063919553848]}",0.462
1254,1833.5,1580.0,1077.0,1239.0,1294.0,1785.0,1,-0.19349064,0.013403344,0.15946735,1254,32.05130543244985,118.62383582514478,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.62383582514478,32.05130543244985]}",0.462
1561,2044.0,1854.0,1182.0,1392.0,1611.0,1890.0,1,-0.18975553,0.03914591,0.079691514,1561,32.10367721351402,118.70046211888018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.70046211888018,32.10367721351402]}",0.462
2100,1364.0,1156.0,893.0,1135.0,1152.0,2035.0,1,-0.09163666,-0.197411,0.27706307,2100,32.084722761019094,118.4278234301499,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.4278234301499,32.084722761019094]}",0.462
10180,975.0,713.0,801.0,1007.0,1096.0,1142.0,3,0.016145308,-0.07888521,0.020554066,10180,31.440990028419044,118.86404533211837,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.86404533211835,31.440990028419044]}",0.462
8080,1108.0,752.0,568.0,852.0,637.0,970.0,2,-0.13061224,0.06641001,0.20721842,8080,31.284413674397012,118.88290995308483,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.88290995308485,31.284413674397012]}",0.462
5509,1659.0,1149.0,560.5,721.0,723.5,1955.0,2,-0.39411765,-0.08190371,0.45977226,5509,32.24058046281383,118.70243841250524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.70243841250524,32.24058046281383]}",0.462
3527,1435.5,1203.5,754.0,866.0,853.0,1390.5,1,-0.24744731,0.015923567,0.23958102,3527,32.02857805576163,118.74762367129644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.74762367129645,32.02857805576163]}",0.462
3598,1786.5,1374.5,777.5,995.0,970.5,2088.5,1,-0.28455868,-0.07793549,0.3654789,3598,31.780373542759403,118.62482397195733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.62482397195731,31.780373542759403]}",0.46
2513,1922.0,1534.0,1069.0,1346.0,1465.0,2140.0,1,-0.17625459,-0.053668145,0.18723994,2513,32.190634133016786,119.10021242031335,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.10021242031337,32.190634133016786]}",0.46
2447,2037.5,1675.5,782.0,1044.0,1140.0,2108.0,1,-0.32240793,-0.017006392,0.29802954,2447,32.3635598252098,118.77592060274624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.77592060274623,32.3635598252098]}",0.46
1717,1208.5,1059.5,859.0,917.0,924.0,1546.0,1,-0.13714421,-0.12252677,0.25182188,1717,32.059749596120575,118.75049828020563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.75049828020563,32.059749596120575]}",0.46
