system:index,B11,B12,B2,B3,B4,B8,Class,MNDWI,NDBI,NDVI,Original_ID,lat,lon,.geo,Pred_Class,Confidence
3473,1870.0,1364.0,683.5,806.5,810.0,1970.5,1,-0.39734727,-0.026168467,0.41737098,3473,31.910719090485145,118.6885145256014,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.68851452560139,31.910719090485145]}",2,0.952
1878,2151.5,1653.0,765.5,1002.0,1088.0,2259.5,1,-0.36451563,-0.024484243,0.34996265,1878,31.98294363932835,118.69561121634594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.69561121634594,31.982943639328354]}",2,0.952
298,2046.0,1539.0,706.0,975.5,1057.0,2547.5,1,-0.3542942,-0.10917601,0.4135109,298,32.026601762136565,118.48351897776531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.48351897776531,32.026601762136565]}",2,0.952
302,2373.5,1654.0,767.0,1029.0,1032.0,3037.0,1,-0.39515063,-0.12263192,0.49275005,302,31.964618007532316,118.6600379310948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.6600379310948,31.964618007532316]}",2,0.952
599,2126.0,1683.0,625.0,949.0,901.0,3090.0,1,-0.38276422,-0.18481596,0.5484841,599,32.436862352393945,118.79137162563308,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.79137162563308,32.436862352393945]}",2,0.952
3701,1961.0,1583.0,647.0,867.5,980.0,2293.0,1,-0.38660067,-0.07804419,0.40116102,3701,32.01133040230653,119.03077264885091,"{""geodesic"":false,""type"":""Point"",""coordinates"":[119.03077264885093,32.01133040230653]}",2,0.952
4257,1630.5,1254.5,677.0,905.0,894.0,2146.5,1,-0.28613687,-0.13661636,0.41193882,4257,31.91359369939433,118.83476025385605,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.83476025385605,31.913593699394326]}",2,0.95
1035,2127.0,1800.5,1005.0,1191.0,1334.0,2126.0,1,-0.28209764,0.00023512814,0.22890173,1035,32.10331788740037,118.92854436951812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.92854436951812,32.10331788740037]}",2,0.95
4622,1918.0,1545.0,1109.0,1278.0,1317.0,1937.5,1,-0.20025031,-0.0050577098,0.19065909,4622,32.08014135307008,118.8961151877614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.89611518776141,32.08014135307008]}",2,0.95
2840,1809.5,1481.0,1003.0,1184.0,1254.0,2098.0,1,-0.20895272,-0.07383237,0.25179,2840,31.39796072630972,118.98585688464496,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.98585688464495,31.39796072630972]}",2,0.95
4536,2150.0,1751.0,1087.0,1292.0,1385.0,2133.0,1,-0.24927367,0.0039691804,0.21262081,4536,31.90308341057013,118.85380453787938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.85380453787938,31.90308341057013]}",2,0.95
2051,2113.0,1544.5,794.5,1073.0,1070.0,2520.5,1,-0.32642812,-0.087946475,0.40398273,2051,32.282172460468566,118.86135038626598,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.86135038626598,32.282172460468566]}",2,0.95
3922,2177.5,1752.5,760.0,904.5,976.0,2243.0,1,-0.41304347,-0.014817328,0.3936005,3922,32.31963220781635,118.96636344297956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.96636344297956,32.31963220781635]}",2,0.95
1796,2004.5,1263.0,708.0,999.0,882.5,3334.5,1,-0.3347761,-0.24911033,0.581456,1796,32.053281726074914,118.80691248004834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[118.80691248004834,32.053281726074914]}",2,0.95
