Original_ID,Original_ID_GEE,system:index,B11_mean,B11_stdDev,B12_mean,B12_stdDev,B2_mean,B2_stdDev,B3_mean,B3_stdDev,B4_mean,B4_stdDev,B8_mean,B8_stdDev,Class,MNDWI_mean,MNDWI_stdDev,NDBI_mean,NDBI_stdDev,NDVI_mean,NDVI_stdDev,.geo
2418,00000000000000000972,00000000000000000972_0,1932.5555555555552,93.84900533553522,1614.8888888888885,133.63315826416073,963.6111111111107,140.68873795600817,1075.9444444444443,153.91347577353756,1076.9999999999998,191.60665727242127,2201.944444444444,244.53532401548495,1,-0.28795704,0.0570381143277624,-0.06214296,0.0604696236819768,0.3437811,0.0927108882466294,"{""type"":""MultiPoint"",""coordinates"":[]}"
4900,00000000000000001324,00000000000000001324_0,2128.333333333333,122.53253536192835,1723.444444444444,194.52512611834547,1002.6666666666664,125.9559005719418,1215.9999999999998,140.14595566368973,1330.4444444444443,182.19593306298395,2309.444444444444,168.79054154063382,1,-0.27438924,0.0473133236286369,-0.040213697,0.0502956623983604,0.2700477,0.0787514026224538,"{""type"":""MultiPoint"",""coordinates"":[]}"
4920,00000000000000001338,00000000000000001338_0,1512.5555555555557,183.3327946120036,1298.1111111111106,145.04745924041094,904.9999999999995,157.02370663197468,1036.9999999999998,170.10519621039734,1117.7777777777774,198.02905386038572,1668.9999999999995,297.24512891999876,1,-0.18762507,0.0997534599793259,-0.04432667,0.0560622072089792,0.19538529,0.0956515836198046,"{""type"":""MultiPoint"",""coordinates"":[]}"
4364,0000000000000000110c,0000000000000000110c_0,1761.4444444444437,243.8916318499246,1444.9518518518514,203.12364422255217,901.1984126984124,128.499050241678,1071.5773448773446,187.42145536952424,1181.0531746031745,186.8971546862909,1717.603703703703,394.6643587878097,1,-0.24654804,0.0348713031602511,0.022016862,0.0727381623356997,0.17713457,0.0540322968814299,"{""type"":""MultiPoint"",""coordinates"":[]}"
4105,00000000000000001009,00000000000000001009_0,2394.7518518518514,290.7195941708135,2192.9981481481477,355.225714232694,951.9166666666662,40.29486534087655,1120.9013227513224,43.56449543115173,1171.1055555555552,56.553118262258536,1915.12037037037,93.94875730220453,1,-0.35841465,0.0494311840570574,0.10775423,0.0678060852391314,0.24082662,0.0290503428261403,"{""type"":""MultiPoint"",""coordinates"":[]}"
2266,000000000000000008da,000000000000000008da_0,2025.9629629629624,171.68827224300605,1511.2592592592591,195.97237555882077,931.3387566137563,196.9315215442274,1120.91049382716,212.71699716045924,1176.622354497354,275.91795376101356,2396.048148148147,273.55406122035635,1,-0.29341674,0.0683975151411357,-0.08223925,0.042038801310776,0.34792885,0.0983912567069253,"{""type"":""MultiPoint"",""coordinates"":[]}"
1927,00000000000000000787,00000000000000000787_0,2193.1111111111104,52.68236990460224,1569.1111111111106,68.71591186333617,816.4444444444443,107.5371885143936,1076.2222222222215,141.60804887495937,1201.333333333333,177.3734290510654,2322.3333333333326,81.0665021928156,1,-0.3442162,0.0587990966654681,-0.02844086,0.0174312281151865,0.32205272,0.0596255453660412,"{""type"":""MultiPoint"",""coordinates"":[]}"
1985,000000000000000007c1,000000000000000007c1_0,1394.3333333333328,94.28090415820634,1328.6666666666663,92.3952860750422,946.444444444444,126.65448284483,1065.7777777777776,159.40847445601852,1133.7777777777776,201.20182116349295,1457.333333333333,224.57465969645324,1,-0.1377744,0.051118345754807,-0.016860204,0.0547217490142158,0.12656726,0.0175774940166608,"{""type"":""MultiPoint"",""coordinates"":[]}"
2236,000000000000000008bc,000000000000000008bc_0,2392.4999999999995,236.8966019173766,2048.944444444444,376.4368358144894,989.833333333333,265.6884139990552,1242.9999999999998,313.41904855959217,1369.1111111111106,408.5525790844345,2405.8888888888887,163.05823393598035,1,-0.32691053,0.0814074516176966,-0.004096786,0.03641596570826,0.29141012,0.1200234183744934,"{""type"":""MultiPoint"",""coordinates"":[]}"
2655,00000000000000000a5f,00000000000000000a5f_0,2411.9999999999995,55.72103133766759,1651.7222222222215,58.064193934678855,999.6666666666664,47.81968446385047,1052.222222222222,31.562205871995367,767.1111111111107,23.424557125871587,2014.7222222222215,34.617040690568444,1,-0.39258173,0.0055375765361089,0.08966973,0.013647242886922,0.448501,0.0139722751229722,"{""type"":""MultiPoint"",""coordinates"":[]}"
3516,00000000000000000dbc,00000000000000000dbc_0,2725.1111111111104,131.4740738654026,2491.888888888888,144.10370065758127,813.9999999999998,90.42246525185112,1061.444444444444,123.02223025048134,1381.5555555555552,223.29209127215307,2329.2222222222217,185.77392340499136,1,-0.4408096,0.0351143624868956,0.07921698,0.0309227741967897,0.25923362,0.0505935053315152,"{""type"":""MultiPoint"",""coordinates"":[]}"
3927,00000000000000000f57,00000000000000000f57_0,2377.7222222222213,170.70330191285186,2107.2222222222217,228.24622561210617,842.722222222222,128.02519524407683,1016.8888888888886,155.40355669063266,1208.1666666666663,210.9149380937991,1865.1111111111104,229.50378570803773,1,-0.40353757,0.0473494431789371,0.122930035,0.0384305873400576,0.21684411,0.0311354275421815,"{""type"":""MultiPoint"",""coordinates"":[]}"
4168,00000000000000001048,00000000000000001048_0,1550.555555555555,65.84723247556833,1362.4444444444443,73.49884520802729,911.8888888888888,72.96299586387686,1029.1111111111109,91.8920797511274,1038.1111111111109,89.3646642128557,1483.2777777777774,268.3072566119249,1,-0.20340744,0.0369038061619917,0.029048456,0.0889825608764848,0.16987334,0.0785652575514584,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,00000000000000000092,00000000000000000092_0,1071.5555555555552,166.02952288414184,891.7777777777775,95.2829444663256,846.8888888888887,253.65131116223503,905.9999999999995,293.67820635670074,914.6666666666664,347.68983623658346,1223.9999999999995,406.7286837957488,1,-0.10467215,0.1393995767855289,-0.042009875,0.1355319707751987,0.15318953,0.0673640942005249,"{""type"":""MultiPoint"",""coordinates"":[]}"
2017,000000000000000007e1,000000000000000007e1_0,2056.777777777777,254.58987837861727,1804.4999999999995,262.41284267352466,892.8888888888886,147.9629791869458,1109.7777777777776,169.74999772723152,1233.3888888888887,228.3897470185774,1936.944444444444,258.20184228239907,1,-0.30056193,0.0534231908060937,0.03079107,0.0322298497914075,0.22566822,0.0658767280936929,"{""type"":""MultiPoint"",""coordinates"":[]}"
