held_out,seed,method,n_train,n_corrected,WC_OA,WC_Kappa,WC_BE,Human_OA,Human_BE
Hefei,0,B1_local_oracle,10343,13,0.931218105169736,0.8960065261548608,241,0.4,80
Hefei,0,B2_loco_gated,10343,53,0.931218105169736,0.8960087708199049,243,0.4266666666666667,76
Hefei,0,B3_loco_ungated,10343,104,0.9283337031284669,0.8916522514205486,255,0.4533333333333333,73
Hefei,0,B4_random_flip,10343,53,0.9321056134901264,0.8973322534106153,236,0.4,78
Hefei,1,B0_baseline,10072,0,0.9390958560066973,0.9085759005885106,237,0.4,77
Hefei,1,B1_local_oracle,10072,11,0.9411887819171202,0.9117027475295383,227,0.41333333333333333,76
Hefei,1,B2_loco_gated,10072,47,0.9384679782335705,0.907590552386977,241,0.4066666666666667,76
Hefei,1,B3_loco_ungated,10072,95,0.9378401004604437,0.906609612773684,244,0.44,73
Hefei,1,B4_random_flip,10072,47,0.9407701967350356,0.911077519574074,232,0.41333333333333333,76
Hefei,2,B0_baseline,9755,0,0.9336604514229637,0.8979008341301046,263,0.37333333333333335,81
Hefei,2,B1_local_oracle,9755,8,0.9350343473994112,0.8999823799561117,258,0.3933333333333333,78
Hefei,2,B2_loco_gated,9755,42,0.9336604514229637,0.8978308053313487,264,0.41333333333333333,76
Hefei,2,B3_loco_ungated,9755,94,0.930323846908734,0.8925509432895199,281,0.4066666666666667,77
Hefei,2,B4_random_flip,9755,42,0.9338567222767419,0.8982209931920101,266,0.38666666666666666,79
Hefei,3,B0_baseline,9599,0,0.9325842696629213,0.8975914695974003,289,0.4266666666666667,74
Hefei,3,B1_local_oracle,9599,10,0.9323938297467149,0.897327583120592,291,0.44,73
Hefei,3,B2_loco_gated,9599,41,0.9323938297467149,0.8974230083080482,289,0.4533333333333333,71
Hefei,3,B3_loco_ungated,9599,85,0.9297276709198248,0.8934454879698958,303,0.44666666666666666,70
Hefei,3,B4_random_flip,9599,41,0.9341077889925729,0.8999021359895987,285,0.4266666666666667,75
Hefei,4,B0_baseline,10383,0,0.9404522050593239,0.9068565466085303,219,0.4066666666666667,79
Hefei,4,B1_local_oracle,10383,11,0.9393328856055518,0.9050861100121323,224,0.4266666666666667,75
Hefei,4,B2_loco_gated,10383,50,0.9368703828072532,0.9013891305833475,235,0.4266666666666667,75
Hefei,4,B3_loco_ungated,10383,103,0.9370942466980076,0.9018824608118676,235,0.44,72
Hefei,4,B4_random_flip,10383,50,0.9377658383702708,0.9026312762523689,232,0.41333333333333333,77
Nanchang,0,B0_baseline,10329,0,0.9017916390179164,0.8523192726011053,204,0.29333333333333333,81
Nanchang,0,B1_local_oracle,10329,43,0.9044459190444591,0.8561764947593619,198,0.31333333333333335,77
Nanchang,0,B2_loco_gated,10329,22,0.9046671090466711,0.8565717459255406,194,0.30666666666666664,79
Nanchang,0,B3_loco_ungated,10329,45,0.9028975890289759,0.8538852086306656,197,0.2866666666666667,81
Nanchang,0,B4_random_flip,10329,22,0.9028975890289759,0.8539572661874315,201,0.2866666666666667,83
