PointID,Original_ID,lon,lat,WC_Class,RF_Pred,margin,BoundaryScore,prob_1,prob_2,prob_3,Human_Class,Scene,Confidence,Notes
44,8078,119.41580531373556,30.011654125840582,2,2,0.52,1753.1866649198273,0.24,0.76,0.0,,,,
45,8092,119.74512776293678,30.01479779208326,2,2,0.5733333333333333,1100.4803885321717,0.2133333333333333,0.7866666666666666,0.0,,,,
46,8228,119.34466035642782,30.04049113235322,2,2,0.6333333333333333,1171.600867638333,0.1833333333333333,0.8166666666666667,0.0,,,,
47,8262,119.15439497357836,30.048307936499903,2,2,0.3799999999999999,1114.1566584223422,0.31,0.69,0.0,,,,
48,8581,119.42056763366068,30.12098236546897,2,2,0.4333333333333333,1226.3398761889966,0.2833333333333333,0.7166666666666667,0.0,,,,
49,8591,119.64972529589828,30.123136111277784,2,2,0.4466666666666667,1406.4157187180958,0.2766666666666666,0.7233333333333334,0.0,,,,
50,8627,119.8243570704544,30.131131279466615,2,2,0.5866666666666667,1021.0935019278154,0.2066666666666666,0.7933333333333333,0.0,,,,
51,8675,119.97338914586264,30.14181974469172,2,2,0.5333333333333334,1334.1453709054042,0.2333333333333333,0.7666666666666667,0.0,,,,
52,8967,119.58361020457885,30.19895420648951,2,2,0.42,1192.8327688047996,0.2833333333333333,0.7033333333333334,0.0133333333333333,,,,
53,9062,119.6225961250891,30.220424778061865,2,2,0.5266666666666667,1094.5054570395484,0.21,0.7366666666666667,0.0533333333333333,,,,
54,9226,120.55756259757143,30.25797486803293,2,2,0.47,1391.3878193755395,0.2033333333333333,0.6733333333333333,0.1233333333333333,,,,
55,9329,119.7421624607362,30.280881270144487,2,2,0.6766666666666666,1044.580566958181,0.16,0.8366666666666667,0.0033333333333333,,,,
56,9361,119.73138481349002,30.28905480237545,2,2,0.6133333333333333,1046.509727050686,0.1933333333333333,0.8066666666666666,0.0,,,,
57,9613,119.30261995169592,30.35031839174874,2,2,0.4666666666666666,1071.1491206196697,0.2666666666666666,0.7333333333333333,0.0,,,,
58,9633,119.87502583572468,30.356338178170887,2,2,0.5033333333333333,1132.038582454255,0.0833333333333333,0.71,0.2066666666666666,,,,
59,9650,119.91410093825606,30.36065012888958,2,2,0.4233333333333333,1051.8592330908102,0.2766666666666666,0.7,0.0233333333333333,,,,
60,9694,119.76165765054188,30.373135611839224,2,2,0.4233333333333333,1312.5281203256582,0.28,0.7033333333333334,0.0166666666666666,,,,
61,9702,120.16805566145187,30.375204634728014,2,2,0.4566666666666667,1214.7750428959423,0.2666666666666666,0.7233333333333334,0.01,,,,
62,9791,119.82301042193622,30.403858818097472,2,2,0.5133333333333334,1089.8844845346298,0.2433333333333333,0.7566666666666667,0.0,,,,
63,9796,120.17937285992552,30.406106205028404,2,2,0.5933333333333334,1080.9899074330472,0.1733333333333333,0.7666666666666667,0.06,,,,
64,9910,120.08963345122493,30.452547742500048,2,2,0.4133333333333333,1136.9558261835766,0.2933333333333333,0.7066666666666667,0.0,,,,
65,9946,120.12493615426506,30.47608287786013,2,2,0.48,1503.8906363778929,0.2233333333333333,0.7033333333333334,0.0733333333333333,,,,
66,10026,119.35418053717692,29.304052756972418,3,3,0.47,1116.7264755361712,0.2333333333333333,0.0633333333333333,0.7033333333333334,,,,
67,10077,119.51713392607404,29.381217500702306,3,3,0.41,1100.6047222157813,0.2633333333333333,0.0633333333333333,0.6733333333333333,,,,
68,10151,118.6373265336229,29.41643102172137,3,3,0.3833333333333333,1036.2626927378888,0.2333333333333333,0.15,0.6166666666666667,,,,
69,10173,118.67756992063026,29.420203421212577,3,3,0.6733333333333333,1272.974423231301,0.1466666666666666,0.0333333333333333,0.82,,,,
70,10220,118.73748686148538,29.4274806741318,3,3,0.5466666666666666,1510.4196628139744,0.1266666666666666,0.1633333333333333,0.71,,,,
71,10357,118.69823339491188,29.462154643923395,3,3,0.4733333333333334,1031.1088778120431,0.0866666666666666,0.22,0.6933333333333334,,,,
72,10379,118.76102199684546,29.4649415820818,3,3,0.6333333333333333,1131.076365398497,0.14,0.0866666666666666,0.7733333333333333,,,,
73,10416,118.68915912426812,29.468352794387688,3,3,0.4566666666666666,1080.849319818294,0.0033333333333333,0.27,0.7266666666666667,,,,
74,10418,118.78851235484,29.468352794387695,3,3,0.7033333333333334,1178.0793320998228,0.11,0.0766666666666666,0.8133333333333334,,,,
75,10559,118.83055275957186,29.480931918459447,3,3,0.64,1057.9826859734485,0.16,0.04,0.8,,,,
76,10599,118.8801379632862,29.484704317950666,3,3,0.4966666666666666,1212.2770128489133,0.1033333333333333,0.2,0.6966666666666667,,,,
77,10605,119.2120689866036,29.484882681992804,3,3,0.52,1444.9204088678416,0.24,0.0,0.76,,,,
78,11079,119.04138797558088,29.510304017098505,3,3,0.6766666666666666,1158.6405412749953,0.14,0.0433333333333333,0.8166666666666667,,,,
79,11620,119.58226355606072,29.53554698816206,3,3,0.42,1246.027648232606,0.2566666666666666,0.0666666666666666,0.6766666666666666,,,,
80,11702,119.15224122776952,29.538061921156203,3,3,0.4333333333333333,1432.600956648291,0.26,0.0466666666666666,0.6933333333333334,,,,
81,11801,118.87618719975282,29.541027223356753,3,3,0.6266666666666667,1189.994010027954,0.0666666666666666,0.1533333333333333,0.78,,,,
82,11873,119.15861774227596,29.544621258805822,3,3,0.4633333333333334,2035.6825958042105,0.25,0.0366666666666666,0.7133333333333334,,,,
83,12086,119.063844008486,29.555220542009856,3,3,0.6533333333333333,1200.663043775403,0.1466666666666666,0.0533333333333333,0.8,,,,
84,12221,118.988837469666,29.563037346156552,3,3,0.3933333333333333,1545.6669336711818,0.2233333333333333,0.16,0.6166666666666667,,,,
85,12510,118.91733132517297,29.588547863283317,3,3,0.56,1617.4395488172588,0.2066666666666666,0.0266666666666666,0.7666666666666667,,,,
86,12573,119.12861245128732,29.5968150366364,3,3,0.46,1375.8398685117495,0.2333333333333333,0.0733333333333333,0.6933333333333334,,,,
87,12634,119.1198993678289,29.60238445385216,3,3,0.5700000000000001,1105.2935205058302,0.19,0.05,0.76,,,,
88,12864,119.00518453412796,29.627716606936787,3,3,0.6366666666666667,1245.2050311534122,0.18,0.0033333333333333,0.8166666666666667,,,,
89,12936,119.0015013166578,29.636969241622687,3,3,0.5700000000000001,1319.2413401196343,0.1166666666666666,0.1566666666666666,0.7266666666666667,,,,
90,12986,118.92442575494896,29.64244947681737,3,3,0.4033333333333332,1035.7249841660714,0.2866666666666667,0.0233333333333333,0.69,,,,
91,13138,119.0235114394576,29.665177514886786,3,3,0.43,1273.774879391819,0.1033333333333333,0.2333333333333333,0.6633333333333333,,,,
92,13403,119.65448761582336,29.721857148377136,3,3,0.5633333333333334,1028.4649531376008,0.1033333333333333,0.1666666666666666,0.73,,,,
93,13483,119.6374181769908,29.742698986700944,3,3,0.3966666666666667,1523.8686451840651,0.2833333333333333,0.0366666666666666,0.68,,,,
